old_tag,new_tag,action,notes
Mr Delaney,Mr Delaney,hierarchy,parent=Hotelliers
Mr A. G. Rowell,Mr A. G. Rowell,hierarchy,parent=Hotelliers
Mr D Thomson,Mr D Thomson,hierarchy,parent=Hotelliers
Brown,Brown,hierarchy,parent=Hotelliers
Military personnel,Military personnel,hierarchy,parent=Occupations
Soldiers,Soldiers,hierarchy,parent=Military personnel
Maritime workers,Maritime workers,hierarchy,parent=Occupations
Shipwright,Shipwright,hierarchy,parent=Maritime workers
Other goods and services,Other goods and services,hierarchy,parent=Occupations
Coach and buggy business,Coach and buggy business,hierarchy,parent=Other goods and services
Mr Thomas Cale,Mr Thomas Cale,hierarchy,parent=Coach and buggy business
Organizations,Organizations,hierarchy,parent=Agents (new top-level facet)
Commercial businesses,Commercial businesses,hierarchy,parent=Organizations
Mining companies,Mining companies,hierarchy,parent=Commercial businesses
Australian Kerosene Oil and Mineral Company,Australian Kerosene Oil and Mineral Company,hierarchy,parent=Mining companies
Katoomba Coal and Shale Company,Katoomba Coal and Shale Company,hierarchy,parent=Mining companies
Gladstone Coal Company,Gladstone Coal Company,hierarchy,parent=Mining companies
Sunny Corner Mining Company,Sunny Corner Mining Company,hierarchy,parent=Mining companies
South Clifton Mine Company,South Clifton Mine Company,hierarchy,parent=Mining companies
New South Wales Shale and Oil Company,New South Wales Shale and Oil Company,hierarchy,parent=Mining companies
Waudby and Company,Waudby and Company,hierarchy,parent=Mining companies
Retailers and stores,Retailers and stores,hierarchy,parent=Commercial businesses
Store,Store,hierarchy,parent=Retailers and stores
Peckman Bros,Peckman Bros,hierarchy,parent=Retailers and stores
Nimmo's,Nimmo's,hierarchy,parent=Retailers and stores
Tabrett and Company,Tabrett and Company,hierarchy,parent=Retailers and stores
Douglas and Company,Douglas and Company,hierarchy,parent=Retailers and stores
Financial institutions,Financial institutions,hierarchy,parent=Commercial businesses
Bank,Bank,hierarchy,parent=Financial institutions
Hospitality businesses,Hospitality businesses,hierarchy,parent=Commercial businesses
Hotels,Hotels,hierarchy,parent=Hospitality businesses
Megalong Hotel,Megalong Hotel,hierarchy,parent=Hotels
Mount Victoria Hotel,Mount Victoria Hotel,hierarchy,parent=Hotels
Mrs Long's Hotel,Mrs Long's Hotel,hierarchy,parent=Hotels
Family Hotel,Family Hotel,hierarchy,parent=Hotels
Belgravia Hotel,Belgravia Hotel,hierarchy,parent=Hotels
Railway Hotel,Railway Hotel,hierarchy,parent=Hotels
Grand Hotel,Grand Hotel,hierarchy,parent=Hotels
Allen's Hotel,Allen's Hotel,hierarchy,parent=Hotels
Centennial Hotel,Centennial Hotel,hierarchy,parent=Hotels
Brown's Hotel,Brown's Hotel,hierarchy,parent=Hotels
Katoomba Hotel,Katoomba Hotel,hierarchy,parent=Hotels
Wentworth Falls Hotel,Wentworth Falls Hotel,hierarchy,parent=Hotels
Imperial Hotel,Imperial Hotel,hierarchy,parent=Hotels
Katoomba Family Hotel,Katoomba Family Hotel,hierarchy,parent=Hotels
Delaney's Hotel,Delaney's Hotel,hierarchy,parent=Hotels
Carrington Hotel,Carrington Hotel,hierarchy,parent=Hotels
Hoffman's House,Hoffman's House,hierarchy,parent=Hotels
Montrose House,Montrose House,hierarchy,parent=Hotels
Boarding houses,Boarding houses,hierarchy,parent=Hospitality businesses
Transport & logistics businesses,Transport & logistics businesses,hierarchy,parent=Commercial businesses
Trucking,Trucking,hierarchy,parent=Transport & logistics businesses
Religious organizations,Religious organizations,hierarchy,parent=Organizations
Churches,Churches,hierarchy,parent=Religious organizations
Church,Church,hierarchy,parent=Churches
Wesleyan Church,Wesleyan Church,hierarchy,parent=Churches
Congregational Church,Congregational Church,hierarchy,parent=Churches
Methodist Church,Methodist Church,hierarchy,parent=Churches
Katoomba Congregational Church,Katoomba Congregational Church,hierarchy,parent=Churches
St Hilda's Church,St Hilda's Church,hierarchy,parent=Churches
Roman Catholic Church,Roman Catholic Church,hierarchy,parent=Churches
Religious social movements,Religious social movements,hierarchy,parent=Religious organizations
Salvation Army,Salvation Army,hierarchy,parent=Religious social movements
Good Templars,Good Templars,hierarchy,parent=Religious social movements
Religious education,Religious education,hierarchy,parent=Religious organizations
Sunday school,Sunday school,hierarchy,parent=Religious education
Fraternal orders & lodges,Fraternal orders & lodges,hierarchy,parent=Organizations
Lodges,Lodges,hierarchy,parent=Fraternal orders & lodges
Freemasons,Freemasons,hierarchy,parent=Lodges
Independent Order of Odd Fellows,Independent Order of Odd Fellows,hierarchy,parent=Lodges
United Ancient Order of Druids,United Ancient Order of Druids,hierarchy,parent=Lodges
Druid's Lodge (local lodge),Druid's Lodge (local lodge),hierarchy,parent=United Ancient Order of Druids
Independent lodges,Independent lodges,hierarchy,parent=Lodges
Mountaineer Lodge,Mountaineer Lodge,hierarchy,parent=Independent lodges
Cultural & recreational organizations,Cultural & recreational organizations,hierarchy,parent=Organizations
Sports clubs,Sports clubs,hierarchy,parent=Cultural & recreational organizations
Cricket clubs,Cricket clubs,hierarchy,parent=Sports clubs
Katoomba Cricket Club,Katoomba Cricket Club,hierarchy,parent=Cricket clubs
Megalong Cricket Club,Megalong Cricket Club,hierarchy,parent=Cricket clubs
Football clubs,Football clubs,hierarchy,parent=Sports clubs
Katoomba Football Club,Katoomba Football Club,hierarchy,parent=Football clubs
Tennis clubs,Tennis clubs,hierarchy,parent=Sports clubs
Katoomba Tennis Club,Katoomba Tennis Club,hierarchy,parent=Tennis clubs
Lawn Tennis Club,Lawn Tennis Club,hierarchy,parent=Tennis clubs
Athletic clubs,Athletic clubs,hierarchy,parent=Sports clubs
Katoomba Athletic Club,Katoomba Athletic Club,hierarchy,parent=Athletic clubs
Rifle clubs,Rifle clubs,hierarchy,parent=Sports clubs
Rifle club,Rifle club,hierarchy,parent=Rifle clubs
Performance groups,Performance groups,hierarchy,parent=Cultural & recreational organizations
Choirs,Choirs,hierarchy,parent=Performance groups
Choir,Choir,hierarchy,parent=Choirs
Bands,Bands,hierarchy,parent=Performance groups
Band,Band,hierarchy,parent=Bands
Katoomba band,Katoomba band,hierarchy,parent=Bands
Minstrel troupes,Minstrel troupes,hierarchy,parent=Performance groups
Katoomba Amateur Minstrels,Katoomba Amateur Minstrels,hierarchy,parent=Minstrel troupes
Cultural societies,Cultural societies,hierarchy,parent=Cultural & recreational organizations
Schools of Arts,Schools of Arts,hierarchy,parent=Cultural societies
School of Arts,School of Arts,hierarchy,parent=Schools of Arts
Katoomba School of Arts,Katoomba School of Arts,hierarchy,parent=Schools of Arts
Horticulture society,Horticulture society,hierarchy,parent=Cultural societies
Katoomba Amateur Dramatic Club,Katoomba Amateur Dramatic Club,hierarchy,parent=Cultural societies
Chess and Draughts Club,Chess and Draughts Club,hierarchy,parent=Cultural societies
Civic organizations,Civic organizations,hierarchy,parent=Organizations
Progress committees,Progress committees,hierarchy,parent=Civic organizations
Katoomba Progress Association,Katoomba Progress Association,hierarchy,parent=Progress committees
Leura Progress Association,Leura Progress Association,hierarchy,parent=Progress committees
Wentworth Falls Progress Association,Wentworth Falls Progress Association,hierarchy,parent=Progress committees
Mount Victoria Progress Committee,Mount Victoria Progress Committee,hierarchy,parent=Progress committees
Megalong Progress Committee,Megalong Progress Committee,hierarchy,parent=Progress committees
Labour organizations,Labour organizations,hierarchy,parent=Civic organizations
Unions,Unions,hierarchy,parent=Labour organizations
Government bodies,Government bodies,hierarchy,parent=Organizations
Courts,Courts,hierarchy,parent=Government bodies
Court,Court,hierarchy,parent=Courts
Supreme Court,Supreme Court,hierarchy,parent=Courts
Police court,Police court,hierarchy,parent=Courts
Licensing Court,Licensing Court,hierarchy,parent=Courts
Katoomba Court,Katoomba Court,hierarchy,parent=Courts
Councils,Councils,hierarchy,parent=Government bodies
Katoomba Council,Katoomba Council,hierarchy,parent=Councils
Lithgow Council,Lithgow Council,hierarchy,parent=Councils
Railway authorities,Railway authorities,hierarchy,parent=Government bodies
Railway commission,Railway commission,hierarchy,parent=Railway authorities
Postal authorities,Postal authorities,hierarchy,parent=Government bodies
Postal Department,Postal Department,hierarchy,parent=Postal authorities
Post Office Department,Postal Department,synonym,Historical name for Postal Department
Other government bodies,Other government bodies,hierarchy,parent=Government bodies
Aborigines' Protection Board,Aborigines' Protection Board,hierarchy,parent=Other government bodies
Animals,Animals,hierarchy,parent=Agents (new top-level facet)
Horses,Horses,hierarchy,parent=Animals
Dogs,Dogs,hierarchy,parent=Animals
Cattle,Cattle,hierarchy,parent=Animals
Mining districts,Mining districts,hierarchy,parent=Places (existing facet)
Ruined Castle,Ruined Castle,hierarchy,parent=Mining districts
Ruined Castle Shale Mine,Ruined Castle Shale Mine,hierarchy,parent=Ruined Castle
Nellie's Glen,Nellie's Glen,hierarchy,parent=Mining districts
Nellie's Glen Track,Nellie's Glen Track,hierarchy,parent=Nellie's Glen
Nellie's Glen Road,Nellie's Glen Road,hierarchy,parent=Nellie's Glen
Nellie's Glen Shale Mine,Nellie's Glen Shale Mine,hierarchy,parent=Nellie's Glen
South Clifton,South Clifton,hierarchy,parent=Mining districts
South Clifton Tunnel Mine,South Clifton Tunnel Mine,hierarchy,parent=South Clifton
Natural features,Natural features,hierarchy,parent=Places (existing facet)
Waterfalls,Waterfalls,hierarchy,parent=Natural features
Katoomba Falls,Katoomba Falls,hierarchy,parent=Waterfalls
Leura Falls,Leura Falls,hierarchy,parent=Waterfalls
Minnehaha,Minnehaha,hierarchy,parent=Waterfalls
Valleys,Valleys,hierarchy,parent=Natural features
Megalong Valley,Megalong Valley,hierarchy,parent=Valleys
Kanimbla Valley,Kanimbla Valley,hierarchy,parent=Valleys
Jamieson Valley,Jamieson Valley,hierarchy,parent=Valleys
Mountain features,Mountain features,hierarchy,parent=Natural features
Narrow Neck,Narrow Neck,hierarchy,parent=Mountain features
Caves & geological features,Caves & geological features,hierarchy,parent=Natural features
Jenolan Caves,Jenolan Caves,hierarchy,parent=Caves & geological features
Jenolan Caves Road,Jenolan Caves Road,hierarchy,parent=Jenolan Caves
Gullies,Gullies,hierarchy,parent=Natural features
Nellie's Glen,Nellie's Glen,hierarchy,parent=Gullies
Towns,Towns,hierarchy,parent=Places (existing facet)
Katoomba,Katoomba,hierarchy,parent=Towns
Carrington,Carrington,hierarchy,parent=Katoomba
South Katoomba,South Katoomba,hierarchy,parent=Katoomba
Leura,Leura,hierarchy,parent=Towns
Medlow,Medlow,hierarchy,parent=Towns
Mount Victoria,Mount Victoria,hierarchy,parent=Towns
Hartley Vale,Hartley Vale,hierarchy,parent=Towns
Clarence,Clarence,hierarchy,parent=Towns
Lithgow,Lithgow,hierarchy,parent=Towns
Sydney,Sydney,hierarchy,parent=Towns
Blackheath,Blackheath,hierarchy,parent=Towns
Megalong,Megalong,hierarchy,parent=Towns
Middle camp,Middle camp,hierarchy,parent=Megalong
Reserves,Reserves,hierarchy,parent=Places (existing facet)
Rifle reserves,Rifle reserves,hierarchy,parent=Reserves
Katoomba Rifle Reserve,Katoomba Rifle Reserve,hierarchy,parent=Rifle reserves
Wentworth Falls Reserve,Wentworth Falls Reserve,hierarchy,parent=Reserves
Leura Reserve,Leura Reserve,hierarchy,parent=Reserves
South Katoomba Reserve,South Katoomba Reserve,hierarchy,parent=Reserves
Wentworth Falls Reserves,Wentworth Falls Reserve,synonym,Plural variant - standardised to singular
Katoomba Rifle Reserves,Katoomba Rifle Reserve,synonym,Plural variant - standardised to singular
Mt Victoria,Mount Victoria,synonym,Abbreviation of Mount Victoria (town)
Mt Victoria Hotel,Mount Victoria Hotel,synonym,Abbreviation of Mount Victoria Hotel
Built Environment,Built Environment,hierarchy,parent=(new top-level facet)
Accommodation and hospitality venues,Accommodation and hospitality venues,hierarchy,parent=Built Environment
Hotels,Hotels,hierarchy,parent=Accommodation and hospitality venues
Hotel,Hotel,hierarchy,parent=Hotels
Comet Hotel,Comet Hotel,hierarchy,parent=Hotels
Falls Hotel,Falls Hotel,hierarchy,parent=Hotels
Fryer's Family Hotel,Fryer's Family Hotel,hierarchy,parent=Hotels
Grand Hotel (Sydney),Grand Hotel (Sydney),hierarchy,parent=Hotels
Great Western Hotel,Great Western Hotel,hierarchy,parent=Hotels
Hotel Wentworth,Hotel Wentworth,hierarchy,parent=Hotels
Hydora House Hotel,Hydora House Hotel,hierarchy,parent=Hotels
Leura Hotel,Leura Hotel,hierarchy,parent=Hotels
Oxford Hotel (Sydney),Oxford Hotel (Sydney),hierarchy,parent=Hotels
Boarding houses,Boarding houses,hierarchy,parent=Accommodation and hospitality venues
Boarding house,Boarding house,hierarchy,parent=Boarding houses
Orama Boarding House,Orama Boarding House,hierarchy,parent=Boarding houses
Cottages,Cottages,hierarchy,parent=Accommodation and hospitality venues
Cottage,Cottage,hierarchy,parent=Cottages
Stables,Stables,hierarchy,parent=Accommodation and hospitality venues
Stable,Stable,hierarchy,parent=Stables
Dwellings,Dwellings,hierarchy,parent=Accommodation and hospitality venues
Miners' dwellings,Miners' dwellings,hierarchy,parent=Dwellings
Public houses,Public houses,hierarchy,parent=Accommodation and hospitality venues
Public house,Public house,hierarchy,parent=Public houses
Pub,Public house,synonym,Colloquial term for public house
Civic buildings,Civic buildings,hierarchy,parent=Built Environment
Court buildings,Court buildings,hierarchy,parent=Civic buildings
Courthouse,Courthouse,hierarchy,parent=Court buildings
Katoomba Court,Katoomba Court,hierarchy,parent=Court buildings
Council buildings,Council buildings,hierarchy,parent=Civic buildings
Council Chambers,Council Chambers,hierarchy,parent=Council buildings
Police facilities,Police facilities,hierarchy,parent=Civic buildings
Police station,Police station,hierarchy,parent=Police facilities
Postal facilities,Postal facilities,hierarchy,parent=Civic buildings
Post office,Post office,hierarchy,parent=Postal facilities
Educational buildings,Educational buildings,hierarchy,parent=Built Environment
Schools,Schools,hierarchy,parent=Educational buildings
School,School,hierarchy,parent=Schools
Mount Victoria School,Mount Victoria School,hierarchy,parent=Schools
Katoomba Public School,Katoomba Public School,hierarchy,parent=Schools
Katoomba Superior Public School,Katoomba Superior Public School,hierarchy,parent=Schools
Megalong Valley School,Megalong Valley School,hierarchy,parent=Schools
Religious buildings,Religious buildings,hierarchy,parent=Built Environment
Churches,Churches,hierarchy,parent=Religious buildings
Community buildings,Community buildings,hierarchy,parent=Built Environment
Halls,Halls,hierarchy,parent=Community buildings
Schools of Arts,Schools of Arts,hierarchy,parent=Halls
School of Arts,School of Arts,hierarchy,parent=Schools of Arts
Katoomba School of Arts,Katoomba School of Arts,hierarchy,parent=Schools of Arts
Clarke's Hall,Clarke's Hall,hierarchy,parent=Halls
Waudby's Hall,Waudby's Hall,hierarchy,parent=Halls
Mount Victoria Hall,Mount Victoria Hall,hierarchy,parent=Halls
Odd Fellows' Hall,Odd Fellows' Hall,hierarchy,parent=Halls
Masonic Hall,Masonic Hall,hierarchy,parent=Halls
Commercial buildings,Commercial buildings,hierarchy,parent=Built Environment
Store,Store,hierarchy,parent=Commercial buildings
Bank,Bank,hierarchy,parent=Commercial buildings
Infrastructure,Infrastructure,hierarchy,parent=Built Environment
Transport infrastructure,Transport infrastructure,hierarchy,parent=Infrastructure
Railway,Railway,hierarchy,parent=Transport infrastructure
Great Western Railway,Great Western Railway,hierarchy,parent=Railway
Railway infrastructure,Railway infrastructure,hierarchy,parent=Railway
Katoomba station,Katoomba station,hierarchy,parent=Railway infrastructure
Zig Zag,Zig Zag,hierarchy,parent=Railway infrastructure
Railway operations,Railway operations,hierarchy,parent=Railway
Tourist trains,Tourist trains,hierarchy,parent=Railway operations
Roads,Roads,hierarchy,parent=Transport infrastructure
Jenolan Caves Road,Jenolan Caves Road,hierarchy,parent=Roads
Nellie's Glen Road,Nellie's Glen Road,hierarchy,parent=Roads
Nellie's Glen Track,Nellie's Glen Track,hierarchy,parent=Roads
Mining infrastructure,Mining infrastructure,hierarchy,parent=Infrastructure
Tramway,Tramway,hierarchy,parent=Mining infrastructure
Utilities,Utilities,hierarchy,parent=Infrastructure
Sewerage,Sewerage,hierarchy,parent=Utilities
Gas,Gas,hierarchy,parent=Utilities
Events,Events,hierarchy,parent=(new top-level facet)
Life events,Life events,hierarchy,parent=Events
Death,Death,hierarchy,parent=Life events
Death notice,Death notice,hierarchy,parent=Death
Marriage,Marriage,hierarchy,parent=Life events
Funeral,Funeral,hierarchy,parent=Life events
Social events,Social events,hierarchy,parent=Events
Dance,Dance,hierarchy,parent=Social events
Ball,Ball,hierarchy,parent=Social events
Flower show,Flower show,hierarchy,parent=Social events
Sporting events,Sporting events,hierarchy,parent=Events
Cricket,Cricket,hierarchy,parent=Sporting events
Girls' cricket,Girls' cricket,hierarchy,parent=Cricket
Football,Football,hierarchy,parent=Sporting events
Tennis,Tennis,hierarchy,parent=Sporting events
Athletics,Athletics,hierarchy,parent=Sporting events
Rugby,Rugby,hierarchy,parent=Sporting events
Shooting,Shooting,hierarchy,parent=Sporting events
Billiards,Billiards,hierarchy,parent=Sporting events
Cultural events,Cultural events,hierarchy,parent=Events
Concert,Concert,hierarchy,parent=Cultural events
Debate,Debate,hierarchy,parent=Cultural events
Corroboree,Corroboree,hierarchy,parent=Cultural events
Legal events,Legal events,hierarchy,parent=Events
Court cases,Court cases,hierarchy,parent=Legal events
Bankruptcy,Bankruptcy,hierarchy,parent=Legal events
Divorce,Divorce,hierarchy,parent=Legal events
Criminal events,Criminal events,hierarchy,parent=Events
Theft,Theft,hierarchy,parent=Criminal events
Rape,Rape,hierarchy,parent=Criminal events
Fighting,Fighting,hierarchy,parent=Criminal events
Assault,Assault,hierarchy,parent=Criminal events
Bigamy,Bigamy,hierarchy,parent=Criminal events
Sexual violence,Sexual violence,hierarchy,parent=Criminal events
Desertion,Desertion,hierarchy,parent=Criminal events
Alcohol-related,Alcohol-related,hierarchy,parent=Criminal events
Drunkenness (crime),Drunkenness (crime),hierarchy,parent=Alcohol-related
Unlicensed sales,Unlicensed sales,hierarchy,parent=Alcohol-related
Sly-grog operations,Unlicensed sales,synonym,Australian colonial term for unlicensed liquor sales
Serving alcohol to minors,Serving alcohol to minors,hierarchy,parent=Alcohol-related
Political events,Political events,hierarchy,parent=Events
Election,Election,hierarchy,parent=Political events
Public meeting,Public meeting,hierarchy,parent=Political events
Petition,Petition,hierarchy,parent=Political events
Economic events,Economic events,hierarchy,parent=Events
Strike,Strike,hierarchy,parent=Economic events
Mine closure,Mine closure,hierarchy,parent=Economic events
Disasters & accidents,Disasters & accidents,hierarchy,parent=Events
Accident,Accident,hierarchy,parent=Disasters & accidents
Mining accidents,Mining accidents,hierarchy,parent=Accident
Mount Kembla Disaster,Mount Kembla Disaster,hierarchy,parent=Mining accidents
Fire,Fire,hierarchy,parent=Disasters & accidents
Historical events,Historical events,hierarchy,parent=Events
World War I,World War I,hierarchy,parent=Historical events
Port Kembla disaster,Mount Kembla Disaster,synonym,Historical misnomer - actually Mount Kembla (not Port Kembla)
Mount Kembla Colliery Disaster,Mount Kembla Disaster,synonym,Alternative name for 1902 mining disaster
Activities,Activities,hierarchy,parent=(new top-level facet)
Economic activities,Economic activities,hierarchy,parent=Activities
Mining,Mining,hierarchy,parent=Economic activities
Shale mining,Shale mining,hierarchy,parent=Mining
Shale mines,Shale mines,hierarchy,parent=Shale mining
Coal mining,Coal mining,hierarchy,parent=Mining
Coal,Coal,hierarchy,parent=Coal mining
Coal mines,Coal mines,hierarchy,parent=Coal mining
Gold mining,Gold mining,hierarchy,parent=Mining
Tourism,Tourism,hierarchy,parent=Economic activities
Transport,Transport,hierarchy,parent=Economic activities
Trucking,Trucking,hierarchy,parent=Transport
Horseborne transportation,Horseborne transportation,hierarchy,parent=Transport
Commercial activities,Commercial activities,hierarchy,parent=Activities
Liquor trade,Liquor trade,hierarchy,parent=Commercial activities
Liquor sales,Liquor sales,hierarchy,parent=Liquor trade
Wholesale liquor business,Wholesale liquor business,hierarchy,parent=Liquor trade
Recreation activities,Recreation activities,hierarchy,parent=Activities
Recreation for miners,Recreation for miners,hierarchy,parent=Recreation activities
Sports,Sports,hierarchy,parent=Recreation activities
Horseback riding,Horseback riding,hierarchy,parent=Recreation activities
Social behaviours,Social behaviours,hierarchy,parent=Activities
Drinking (alcohol),Drinking (alcohol),hierarchy,parent=Social behaviours
Drinking,Drinking (alcohol),synonym,Renamed for clarity - refers specifically to alcohol consumption
Gambling,Gambling,hierarchy,parent=Social behaviours
Temperance,Temperance,hierarchy,parent=Social behaviours
Communication activities,Communication activities,hierarchy,parent=Activities
Advertising,Advertising,hierarchy,parent=Communication activities
Fundraising,Fundraising,hierarchy,parent=Communication activities
Postal services,Postal services,hierarchy,parent=Communication activities
Postal service,Postal service,hierarchy,parent=Postal services
Post,Postal service,synonym,Generic term for postal service (deprecated - use specific tags)
Military activities,Military activities,hierarchy,parent=Activities
Military,Military,hierarchy,parent=Military activities
Regulatory processes,Regulatory processes,hierarchy,parent=Activities
Licensing,Licensing,hierarchy,parent=Regulatory processes
Liquor licensing,Liquor licensing,hierarchy,parent=Licensing
Hotel licensing,Hotel licensing,hierarchy,parent=Licensing
Publican's licensing,Publican's licensing,hierarchy,parent=Licensing
Publican's License,Publican's licensing,synonym,Historical term for licence to operate public house serving alcohol
Charitable and welfare activities,Charitable and welfare activities,hierarchy,parent=Activities
Charity,Charity,hierarchy,parent=Charitable and welfare activities
Unemployment relief,Unemployment relief,hierarchy,parent=Charitable and welfare activities
Information Forms,Information Forms,hierarchy,parent=(conceptual facet)
Legal documents,Legal documents,hierarchy,parent=Information Forms
Legislation,Legislation,hierarchy,parent=Legal documents
Licensing Act,Licensing Act,hierarchy,parent=Legislation
Licenses,Licenses,hierarchy,parent=Legal documents
Publican's License,Publican's License,hierarchy,parent=Licenses
Maps,Maps,hierarchy,parent=Information Forms
Associated Concepts,Associated Concepts,hierarchy,parent=(conceptual facet)
Physical phenomena,Physical phenomena,hierarchy,parent=Associated Concepts
Weather,Weather,hierarchy,parent=Physical phenomena
Social & economic concepts,Social & economic concepts,hierarchy,parent=Associated Concepts
Unemployment,Unemployment,hierarchy,parent=Social & economic concepts
Physical and health conditions,Physical and health conditions,hierarchy,parent=Associated Concepts
Injury,Injury,hierarchy,parent=Physical and health conditions
Illness,Illness,hierarchy,parent=Physical and health conditions
Disease,Disease,hierarchy,parent=Physical and health conditions
